DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Kid's Accessories,Fashion Accessories,Belts,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Accessories,Fashion Accessories,Brooch,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Accessories,Fashion Accessories,Caps & Hats,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Accessories,Fashion Accessories,Hair Accessories,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Accessories,Fashion Accessories,Masks & Protective Gear,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Accessories,Fashion Accessories,Watches,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Accessories,Fashion Accessories,Gloves,Gloves For Men,Gloves For Men Bike Riding,Gloves For Women,Gloves For Kids,Gloves Bike,Gloves Stylish,Gloves Stylish For Women,Stylish Hand Gloves For Men,Gym Hand Gloves For Men Stylish,,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Anklets,Anklets For Women,Anklets For Girls,Anklets Silver,Anklets Fashion,Anklets Black,Anklets Gold,Anklets For Women Stylish,Anklets Leg,Anklets For Men,Bead Anklet,Designed Anklets For Women,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Bangles & Bracelets,Bangles Bracelets For Women,Bangles And Bracelets,Bangles And Bracelets For Girls,Bangles For Girls,Bangles For Girls Fashion,Fashionable Bangles For Girls,Fancy Bangles For Girls,Fancy Bangles For Girls Stylish,Bangles For Girls Stylish Latest Fancy,,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Brooch,Brooch For Men,Brooch For Men Blazer,Brooch For Men Blazer Formal,Blazer Brooch For Men,Blazer Brooch For Men Stylish Latest,Brooch For Women,Brooch For Women Wedding,Saree Brooch Pin For Women Wedding,Saree Pin Brooch For Women,,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Chains & Necklaces,Necklaces And Chains,Girls' Chains & Necklaces,Necklace For Women,Necklace For Women Fashion,Necklace For Women Traditional,Necklace For Girls,Necklace For Girls Stylish,Necklace For Men,Necklace Western Style,Necklace For Kids,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Earrings,Earrings For Women,Earrings For Women Fashion Traditional,Earrings For Women Fashion,Earrings For Girls,Earrings For Girls Stylish,Earrings For Girls Stylish Latest,Earrings For Girls Stylish Latest Design,Wedding Earrings,Wedding Earrings For Women,Wedding Earrings For Girls,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Jewellery Sets,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Mangalsutra,Mangalsutra For Women Stylish New,Mangalsutra For Women,Mangalsutra Gold Plated,Mangalsutra Traditional,Mangalsutra Gold,Necklace Pendant,Wedding Jewellery,Mangalsutra Pendant With Chain,Silver Drizzle Drop Mangalsutra,Brass Mangalsutra,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Nosepins & Noserings,Nose Pin For Women,German Silver Nose Pin Set,Floral Shaped Nosepin Combo,Studded Nose Pins,Nosepins Pierced Stud Ring,Plated Nose Ring,Noserings For Bride,Nose Rings For Bridal Wedding,,,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Pendants,Pendants For Women,Pendants For Men,Pendants For Girls,Pendants Silver,Pendants Necklace,Pendants Gold,Pendant Chain For Women,Peacock Pendant Necklace,Crystal Chain Pendant Necklace,,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Religious Jewellery,Religious Jewellery For Women,Gold Plated Kundan,Pearl Earrings Set,Durga Sherawali Mata Rani Religious Chain,Plated Religious Traditional,Necklace Pendant Religious,Pendants For Women,Pendants For Girls,Pendants Silver,,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Rings,Rings For Men,Rings For Women,Rings For Girls,Rings For Boys,Rings For Kids,Rings For Kids Boys,Rings For Kids Girls,Rings For Women Stylish,Finger Ring,Finger Ring For Women,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Toe Rings,Toe Rings For Women,Toe Rings Fashion,Toe Rings For Girls,Finger Rings For Girls,Toe Ring Flats,Toe Ring Designs For Women,Gold Plated Toe Rings,Mila Toe Rings Pair,Comfortable Toe Rings,,,,,,
Retail,Fashion,Kid's Jewellery,Jewellery,Gold Coins,Gold Coins 24K,Gold Coins 5 Gm,Gold Coins 1 Gram,Gold Coins 1Gm,Gold Coins 24K 3Gm,Gold Coins 24K 2Gm,Gold Coins 10 Grams,Gold Bar,King 8 Gm Gold Coin,Queen 8 Gm Gold Coin,,,,,
Retail,Fashion,Kid's Eyewear,Eyewear,Contact Lenses,Contact Lenses For Girls,Contact Lenses For Women,Contact Lenses For Men,Color Contact Lenses Zero Power,Contact Lenses Blue,Daily Disposable Contact Lenses,Pack Of 6 Lenses,Color Contact Lenses,4 Pairs Of Monthly Color Contact Lenses,Reusable Contact Lenses,,,,,
Retail,Fashion,Kid's Eyewear,Eyewear,Eye Glasses,Eye Glasses For Girls,Eye Glasses For Women,Eye Glasses For Men,Cut Computer Glasses,Cut Computer Glasses For Eye Protection,Blocking Glasses Gaming Filter,Eye Glasses For Computer,Eye Glasses For Tablet,Eye Glasses For Laptop,Eye Glasses For Mobile,Eye Glasses For TV,,,,
Retail,Fashion,Kid's Eyewear,Eyewear,Eye Glass Frames,Eye Glass Frames For Girls,Eye Glass Frames For Women,Eye Glass Frames,Eye Glass Frames For Men,Eye Glass Frames Titanium,Spectacles Frame Anti-Glare Uv,Round Eyeglass Frame,Tony Stark Frame For Eye,,,,,,,
Retail,Fashion,Kid's Eyewear,Eyewear,Sunglasses,Sunglasses For Girls,Sunglasses For Women,Sunglasses For Men,Sunglasses For Kids,Sunglasses For Kids Boy,Sunglasses For Men Aviator,Driving Vintage Sunglasses,Polarized Sunglasses,Unisex Sunglass,Men'S Pilot Sunglasses,Rectanglular Sunglasses,,,,
